Probeta 8;Probeta 8;;;;;
Deformación;Fuerza estándar;;area inicial;diametro inicial;;1000000
%;N;;2,82743E-05;0,006;;
0;-4,260035515;21123,42969;;;;
-1,7593E-06;-4,535326481;;MPa ingenieril;MPa real;;% real
1,447304309;646,8652954;;22,68101707;55,30869132;;0,891401741
1,451637109;649,6694336;;22,77928653;55,64806639;;0,893195694
1,45603785;652,4307861;;22,87817984;55,9898681;;0,894987137
1,460424535;655,1358032;;22,97735594;56,33213848;;0,896756009
1,464770298;657,784668;;23,07501881;56,67311959;;0,898549421
1,469146987;660,4213257;;23,17068922;57,00973224;;0,90033391
1,473562254;663,1929321;;23,26437364;57,34133716;;0,902098618
1,477923011;665,9894409;;23,35762633;57,67341268;;0,903872741
1,482225667;668,7468872;;23,45565186;58,01901507;;0,90565932
1,486602824;671,4552612;;23,55455813;58,36638159;;0,907420714
1,490996224;674,149231;;23,65208284;58,70980709;;0,909155604
1,495330898;676,8995361;;23,74787198;59,05152551;;0,910917451
1,499698372;679,7554321;;23,84315166;59,39320077;;0,912682721
1,504080527;682,7186279;;23,94042381;59,73927926;;0,914421345
1,508437536;685,774353;;24,04143047;60,09632461;;0,916170073
1,512815318;688,8347778;;24,14623208;60,46410956;;0,917921612
1,517216059;691,777832;;24,25430625;60,84041221;;0,919660064
1,52156151;694,6865234;;24,36254664;61,21858037;;0,921403765
1,525879004;697,602478;;24,46663589;61,58780877;;0,923153552
1,530277871;700,5640869;;24,5695098;61,95353024;;0,924878357
1,534664868;703,6225586;;24,6726406;62,32010486;;0,926589122
1,538992357;706,5338745;;24,77738609;62,69367171;;0,928329127
1,543374513;709,4666748;;24,88555739;63,07654805;;0,930061426
1,547770881;712,2866821;;24,98852413;63,44567179;;0,931767293
1,552130545;715,0355225;;25,09225072;63,81899095;;0,933491748
1,556509889;717,8378296;;25,19198808;64,18341366;;0,935218812
1,560903289;720,7436523;;25,28920842;64,54136126;;0,936928518
1,56527373;723,6810913;;25,38831976;64,90549052;;0,938643004
1,569577948;726,6137695;;25,49109222;65,2802219;;0,940360044
1,57395245;729,467041;;25,59498287;65,65813718;;0,94206519
1,578345382;732,2827148;;25,69870514;66,03482602;;0,943741663
1,582679431;735,2315674;;25,79961898;66,40699247;;0,945442636
1,587062367;738,1195679;;25,89920307;66,77709063;;0,947147868
1,591435464;741,1384277;;26,00349739;67,15869785;;0,948827399
1,595777947;744,2220459;;26,10563952;67,53691756;;0,950523011
1,600152449;747,3121338;;26,21240984;67,92776845;;0,952211955
1,604567872;750,3207397;;26,32147053;68,32469272;;0,953886259
1,608920508;753,3047485;;26,43076003;68,72400541;;0,955570078
1,613222851;756,4092407;;26,5371677;69,1178544;;0,957266777
1,617604694;759,6472778;;26,64270542;69,50870055;;0,958936537
1,622005591;762,9229736;;26,75250437;69,91025574;;0,960584268
1,626348075;766,2183838;;26,86702651;70,32725469;;0,962259661
1,63072492;769,5290527;;26,98288054;70,74926366;;0,963939518
1,635110667;772,8341064;;27,09943184;71,17254063;;0,965594317
1,639467676;776,1427612;;27,2165228;71,59918475;;0,967259443
1,64384905;779,4797974;;27,33341516;72,02657386;;0,96892518
1,648256664;782,9264526;;27,45043489;72,45453558;;0,970577259
1,652606644;786,4362183;;27,5684584;72,88684255;;0,972235829
1,656921483;789,9255371;;27,69035889;73,33117746;;0,973901561
1,661310198;793,2787476;;27,81449146;73,78090485;;0,975542796
1,665686886;796,6218872;;27,93790087;74,22880899;;0,977168115
1,670020155;799,9904175;;28,05649643;74,66704005;;0,978818557
1,674402934;803,4411011;;28,17473581;75,10502376;;0,980461768
1,678795242;806,8844604;;28,29387319;75,54521168;;0,982086021
1,683140224;810,3482056;;28,41591616;75,99560956;;0,983726153
1,687507698;813,765564;;28,53770009;76,4466552;;0,985367157
1,691907971;817,1471558;;28,66020501;76,8993489;;0,986987834
1,696267479;820,5368652;;28,78106934;77,3493454;;0,988614258
1,700584191;823,9800415;;28,90066868;77,79794038;;0,990250225
1,704966502;827,5457764;;29,02055513;78,24717901;;0,991868401
1,709340536;831,0889282;;29,14233258;78,70132266;;0,993468117
1,713679583;834,607605;;29,26844465;79,17016237;;0,995089529
1,718069079;838,0540161;;29,39375802;79,63770009;;0,996705261
1,722460605;841,4995117;;29,51820575;80,10295227;;0,998305494
1,726815115;844,932312;;29,64009761;80,56383281;;0,999921731
1,731184151;848,4371338;;29,76195709;81,02575572;;1,001536106
1,735603635;851,9216309;;29,88336756;81,48641837;;1,003134304
1,73996408;855,3618774;;30,00732528;81,9555312;;1,00473527
1,744262518;858,6955566;;30,13056415;82,42528081;;1,006352119
1,7486403;862,0205688;;30,25223798;82,89004541;;1,007944811
1,753032451;865,3751831;;30,37014277;83,34364447;;1,009512375
1,757370874;868,7670288;;30,48774102;83,79983362;;1,011106353
1,761737723;872,1384888;;30,60638623;84,2603745;;1,012703014
1,766128624;875,5679932;;30,72634823;84,72393767;;1,014277644
1,770489538;878,9604492;;30,84558923;85,18742736;;1,015860091
1,77485951;882,3693237;;30,96688314;85,65838186;;1,017448734
1,77925541;885,7979736;;31,08686673;86,12583904;;1,019024033
1,783602423;889,2648926;;31,207431;86,59623671;;1,020600119
1,787921635;892,8486328;;31,32869469;87,07044419;;1,022183054
1,792312224;896,4284668;;31,45131186;87,5479479;;1,023745924
1,796696097;900,0244141;;31,57806074;88,03715872;;1,025296384
